Time,Strain
-1.753906249,-1.2883492559305995e-25
-1.753662108375,-1.4061701620942137e-25
-1.75341796775,-1.5282486766399552e-25
-1.753173827125,-1.6545059795879952e-25
-1.7529296865,-1.7848685698350154e-25
-1.752685545875,-1.9192668053496194e-25
-1.75244140525,-2.057631480815834e-25
-1.752197264625,-2.199888194608695e-25
-1.751953124,-2.3459496398671203e-25
-1.751708983375,-2.4957076153106875e-25
-1.75146484275,-2.6490276456713405e-25
-1.751220702125,-2.8057484064416193e-25
-1.7509765615,-2.9656865557271276e-25
-1.750732420875,-3.128646341778522e-25
-1.75048828025,-3.2944321793738596e-25
-1.750244139625,-3.4628606085382316e-25
-1.749999999,-3.633766825897683e-25
-1.749755858375,-3.8070023708621007e-25
-1.74951171775,-3.982424366122581e-25
-1.749267577125,-4.159880119550305e-25
-1.7490234365,-4.339191786873543e-25
-1.748779295875,-4.520145030496978e-25
-1.74853515525,-4.702484844808381e-25
-1.748291014625,-4.885920532468501e-25
-1.748046874,-5.070138900472968e-25
-1.747802733375,-5.254821138446758e-25
-1.74755859275,-5.439657542853819e-25
-1.747314452125,-5.624356241477822e-25
-1.7470703115,-5.808644899819456e-25
-1.746826170875,-5.992265667423846e-25
-1.74658203025,-6.174964144443899e-25
-1.746337889625,-6.35647475861376e-25
-1.746093749,-6.5365068884881145e-25
-1.745849608375,-6.714735877204141e-25
-1.74560546775,-6.890800680022721e-25
-1.745361327125,-7.064308006974821e-25
-1.7451171865,-7.234842733516221e-25
-1.744873045875,-7.401983850072118e-25
-1.74462890525,-7.565322445907301e-25
-1.744384764625,-7.724475427802779e-25
-1.744140624,-7.879089556231639e-25
-1.743896483375,-8.028834743278316e-25
-1.74365234275,-8.17338948185868e-25
-1.743408202125,-8.31242256581164e-25
-1.7431640615,-8.445575618650004e-25
-1.742919920875,-8.572451845085891e-25
-1.74267578025,-8.69261589920489e-25
-1.742431639625,-8.805605758005967e-25
-1.742187499,-8.910952298088911e-25
-1.741943358375,-9.00820031378018e-25
-1.74169921775,-9.096926534590582e-25
-1.741455077125,-9.176752053720969e-25
-1.7412109365,-9.247346473167777e-25
-1.740966795875,-9.30842160645956e-25
-1.74072265525,-9.359716135157827e-25
-1.740478514625,-9.400976652903302e-25
-1.740234374,-9.431940948216379e-25
-1.739990233375,-9.452326711848692e-25
-1.73974609275,-9.461827330283153e-25
-1.739501952125,-9.460117142362576e-25
-1.7392578115,-9.44686776458365e-25
-1.739013670875,-9.421772581513175e-25
-1.73876953025,-9.384571768090572e-25
-1.738525389625,-9.335069852999792e-25
-1.738281249,-9.273141141891568e-25
-1.738037108375,-9.198721341205968e-25
-1.73779296775,-9.111785837713093e-25
-1.737548827125,-9.012319170624141e-25
-1.7373046865,-8.900285880351197e-25
-1.737060545875,-8.775614562385038e-25
-1.73681640525,-8.63820109680377e-25
-1.736572264625,-8.48792801637884e-25
-1.736328124,-8.324691920072009e-25
-1.736083983375,-8.148430981463639e-25
-1.73583984275,-7.959145797514711e-25
-1.735595702125,-7.756907465369569e-25
-1.7353515615,-7.54184988832465e-25
-1.735107420875,-7.314149843404476e-25
-1.73486328025,-7.074003301944825e-25
-1.734619139625,-6.821605292470489e-25
-1.734374999,-6.5571359238275535e-25
-1.734130858375,-6.280753133811262e-25
-1.73388671775,-5.992593923735897e-25
-1.733642577125,-5.6927853442502495e-25
-1.7333984365,-5.38146252402392e-25
-1.733154295875,-5.058788124114198e-25
-1.73291015525,-4.724969197092868e-25
-1.732666014625,-4.380270009747749e-25
-1.732421874,-4.0250181409491906e-25
-1.732177733375,-3.6595983729589965e-25
-1.73193359275,-3.2844310912600246e-25
-1.731689452125,-2.8999397256762093e-25
-1.7314453115,-2.5065181291591785e-25
-1.731201170875,-2.1045084823389576e-25
-1.73095703025,-1.6941960230998066e-25
-1.730712889625,-1.275823221262764e-25
-1.730468749,-8.496220151050388e-26
-1.730224608375,-4.1585562307453406e-26
-1.72998046775,2.514530213120502e-27
-1.729736327125,4.729663040808722e-26
-1.7294921865,9.271168021909896e-26
-1.729248045875,1.3870557336097498e-25
-1.72900390525,1.852225368919677e-25
-1.728759764625,2.3220844624621137e-25
-1.728515624,2.796132185720044e-25
-1.728271483375,3.27391479478681e-25
-1.72802734275,3.7550123860729307e-25
-1.727783202125,4.239012140009676e-25
-1.7275390615,4.725479323959316e-25
-1.727294920875,5.213934295883724e-25
-1.72705078025,5.703838347405476e-25
-1.726806639625,6.194589733327531e-25
-1.726562499,6.685531786384033e-25
-1.726318358375,7.175972235473517e-25
-1.72607421775,7.6652077674207375e-25
-1.725830077125,8.152546801201432e-25
-1.7255859365,8.63732740182935e-25
-1.725341795875,9.118929758582878e-25
-1.72509765525,9.596779982280741e-25
-1.724853514625,1.007033972124091e-24
-1.724609374,1.0539080826659721e-24
-1.724365233375,1.1002452961553007e-24
-1.72412109275,1.145985581982609e-24
-1.723876952125,1.1910624093264427e-24
-1.7236328115,1.2354028562575259e-24
-1.723388670875,1.278929454287886e-24
-1.72314453025,1.3215635808474706e-24
-1.722900389625,1.3632295169792609e-24
-1.722656249,1.4038577431649434e-24
-1.722412108375,1.443386352050202e-24
-1.72216796775,1.4817603994268465e-24
-1.721923827125,1.5189297013734326e-24
-1.7216796865,1.5548456878911518e-24
-1.721435545875,1.5894579762456752e-24
-1.72119140525,1.6227116683063863e-24
-1.720947264625,1.6545464803193784e-24
-1.720703124,1.6848981265193316e-24
-1.720458983375,1.7137013312378286e-24
-1.72021484275,1.7408933661587505e-24
-1.719970702125,1.766417270241057e-24
-1.7197265615,1.7902242226781127e-24
-1.719482420875,1.8122745283096478e-24
-1.71923828025,1.8325368074471654e-24
-1.718994139625,1.8509856444354804e-24
-1.718749999,1.8675986490806107e-24
-1.718505858375,1.882353907402981e-24
-1.71826171775,1.8952282932664372e-24
-1.718017577125,1.9061968336838112e-24
-1.7177734365,1.9152334205237306e-24
-1.717529295875,1.9223129996003026e-24
-1.71728515525,1.9275278204241048e-24
-1.717041014625,1.9309778509279327e-24
-1.716796874,1.9326578302374125e-24
-1.716552733375,1.9325699283470893e-24
-1.71630859275,1.93072281929222e-24
-1.716064452125,1.9271297675383863e-24
-1.7158203115,1.9218059311800336e-24
-1.715576170875,1.9147655430433288e-24
-1.71533203025,1.906019898451608e-24
-1.715087889625,1.8955766849220113e-24
-1.714843749,1.883440577722829e-24
-1.714599608375,1.869614866978866e-24
-1.71435546775,1.8541040162264897e-24
-1.714111327125,1.836916808096699e-24
-1.7138671865,1.8180691169132115e-24
-1.713623045875,1.7975851714227903e-24
-1.71337890525,1.7754968428853956e-24
-1.713134764625,1.75184136459107e-24
-1.712890624,1.7266581939212156e-24
-1.712646483375,1.6999856264738498e-24
-1.71240234275,1.6718578921810417e-24
-1.712158202125,1.6423037358327152e-24
-1.7119140615,1.6113472034097717e-24
-1.711669920875,1.5790103729139482e-24
-1.71142578025,1.5453168936899017e-24
-1.711181639625,1.5102951236868476e-24
-1.710937499,1.4739800815096808e-24
-1.710693358375,1.436413721347357e-24
-1.71044921775,1.3976432562522636e-24
-1.710205077125,1.3577178877084256e-24
-1.7099609365,1.3166851598589096e-24
-1.709716795875,1.274588374065809e-24
-1.70947265525,1.231465742542274e-24
-1.709228514625,1.1873510152607637e-24
-1.708984374,1.1422750344986228e-24
-1.708740233375,1.0962678824395524e-24
-1.70849609275,1.0493612713218846e-24
-1.708251952125,1.0015905324779032e-24
-1.7080078115,9.52995607968841e-25
-1.707763670875,9.036209997423982e-25
-1.70751953025,8.535150339186638e-25
-1.707275389625,8.027286106940033e-25
-1.707031249,7.513133321229307e-25
-1.706787108375,6.9931918137741545e-25
-1.70654296775,6.467925051706967e-25
-1.706298827125,5.93775118354554e-25
-1.7060546865,5.403047881821667e-25
-1.705810545875,4.864168721604104e-25
-1.70556640525,4.321468632635149e-25
-1.705322264625,3.775335442818769e-25
-1.705078124,3.2262193455515427e-25
-1.704833983375,2.674647496048544e-25
-1.70458984275,2.1212150077463947e-25
-1.704345702125,1.5665549530592464e-25
-1.7041015615,1.0112987357973645e-25
